"","Statistic","Domestic.or.Import.Source","Month","value"
"1","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1975M01",55.8
"2","Fat Content (%)","Domestic","1975M01",NA
"3","Protein Content (%)","Domestic","1975M01",NA
"4","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1975M01",NA
"5","Fat Content (%)","Import","1975M01",NA
"6","Protein Content (%)","Import","1975M01",NA
"7","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1975M02",84.4
"8","Fat Content (%)","Domestic","1975M02",NA
"9","Protein Content (%)","Domestic","1975M02",NA
"10","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1975M02",NA
"11","Fat Content (%)","Import","1975M02",NA
"12","Protein Content (%)","Import","1975M02",NA
"13","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1975M03",193.3
"14","Fat Content (%)","Domestic","1975M03",NA
"15","Protein Content (%)","Domestic","1975M03",NA
"16","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1975M03",NA
"17","Fat Content (%)","Import","1975M03",NA
"18","Protein Content (%)","Import","1975M03",NA
"19","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1975M04",327.5
"20","Fat Content (%)","Domestic","1975M04",NA
"21","Protein Content (%)","Domestic","1975M04",NA
"22","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1975M04",NA
"23","Fat Content (%)","Import","1975M04",NA
"24","Protein Content (%)","Import","1975M04",NA
"25","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1975M05",493.5
"26","Fat Content (%)","Domestic","1975M05",NA
"27","Protein Content (%)","Domestic","1975M05",NA
"28","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1975M05",NA
"29","Fat Content (%)","Import","1975M05",NA
"30","Protein Content (%)","Import","1975M05",NA
"31","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1975M06",494.4
"32","Fat Content (%)","Domestic","1975M06",NA
"33","Protein Content (%)","Domestic","1975M06",NA
"34","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1975M06",NA
"35","Fat Content (%)","Import","1975M06",NA
"36","Protein Content (%)","Import","1975M06",NA
