"","Type.of.Milk","Month","value"
"1","All Milk","1980M01",38.2
"2","Whole Milk","1980M01",38.2
"3","Skimmed and Semi-skimmed milk","1980M01",NA
"4","Skimmed Milk","1980M01",NA
"5","Semi-skimmed milk","1980M01",NA
"6","All Milk","1980M02",36.6
"7","Whole Milk","1980M02",36.6
"8","Skimmed and Semi-skimmed milk","1980M02",NA
"9","Skimmed Milk","1980M02",NA
"10","Semi-skimmed milk","1980M02",NA
"11","All Milk","1980M03",38.4
"12","Whole Milk","1980M03",38.4
"13","Skimmed and Semi-skimmed milk","1980M03",NA
"14","Skimmed Milk","1980M03",NA
"15","Semi-skimmed milk","1980M03",NA
"16","All Milk","1980M04",36.8
"17","Whole Milk","1980M04",36.8
"18","Skimmed and Semi-skimmed milk","1980M04",NA
"19","Skimmed Milk","1980M04",NA
"20","Semi-skimmed milk","1980M04",NA
"21","All Milk","1980M05",38.8
"22","Whole Milk","1980M05",38.8
"23","Skimmed and Semi-skimmed milk","1980M05",NA
"24","Skimmed Milk","1980M05",NA
"25","Semi-skimmed milk","1980M05",NA
"26","All Milk","1980M06",37.5
"27","Whole Milk","1980M06",37.5
"28","Skimmed and Semi-skimmed milk","1980M06",NA
"29","Skimmed Milk","1980M06",NA
"30","Semi-skimmed milk","1980M06",NA
"31","All Milk","1980M07",38
"32","Whole Milk","1980M07",38
"33","Skimmed and Semi-skimmed milk","1980M07",NA
"34","Skimmed Milk","1980M07",NA
"35","Semi-skimmed milk","1980M07",NA
"36","All Milk","1980M08",38.2
"37","Whole Milk","1980M08",38.2
"38","Skimmed and Semi-skimmed milk","1980M08",NA
"39","Skimmed Milk","1980M08",NA
"40","Semi-skimmed milk","1980M08",NA
"41","All Milk","1980M09",37.1
"42","Whole Milk","1980M09",37.1
"43","Skimmed and Semi-skimmed milk","1980M09",NA
"44","Skimmed Milk","1980M09",NA
"45","Semi-skimmed milk","1980M09",NA
"46","All Milk","1980M10",37.5
"47","Whole Milk","1980M10",37.5
"48","Skimmed and Semi-skimmed milk","1980M10",NA
"49","Skimmed Milk","1980M10",NA
"50","Semi-skimmed milk","1980M10",NA
"51","All Milk","1980M11",36.8
"52","Whole Milk","1980M11",36.8
"53","Skimmed and Semi-skimmed milk","1980M11",NA
"54","Skimmed Milk","1980M11",NA
"55","Semi-skimmed milk","1980M11",NA
"56","All Milk","1980M12",37.3
"57","Whole Milk","1980M12",37.3
"58","Skimmed and Semi-skimmed milk","1980M12",NA
"59","Skimmed Milk","1980M12",NA
"60","Semi-skimmed milk","1980M12",NA
"61","All Milk","1981M01",39
"62","Whole Milk","1981M01",39
"63","Skimmed and Semi-skimmed milk","1981M01",NA
"64","Skimmed Milk","1981M01",NA
"65","Semi-skimmed milk","1981M01",NA
"66","All Milk","1981M02",36.3
"67","Whole Milk","1981M02",36.3
"68","Skimmed and Semi-skimmed milk","1981M02",NA
"69","Skimmed Milk","1981M02",NA
"70","Semi-skimmed milk","1981M02",NA
"71","All Milk","1981M03",39.8
"72","Whole Milk","1981M03",39.8
"73","Skimmed and Semi-skimmed milk","1981M03",NA
"74","Skimmed Milk","1981M03",NA
"75","Semi-skimmed milk","1981M03",NA
"76","All Milk","1981M04",39.6
"77","Whole Milk","1981M04",39.6
"78","Skimmed and Semi-skimmed milk","1981M04",NA
"79","Skimmed Milk","1981M04",NA
"80","Semi-skimmed milk","1981M04",NA
"81","All Milk","1981M05",39.5
"82","Whole Milk","1981M05",39.5
"83","Skimmed and Semi-skimmed milk","1981M05",NA
"84","Skimmed Milk","1981M05",NA
"85","Semi-skimmed milk","1981M05",NA
"86","All Milk","1981M06",38.8
"87","Whole Milk","1981M06",38.8
"88","Skimmed and Semi-skimmed milk","1981M06",NA
"89","Skimmed Milk","1981M06",NA
"90","Semi-skimmed milk","1981M06",NA
"91","All Milk","1981M07",40.1
"92","Whole Milk","1981M07",40.1
"93","Skimmed and Semi-skimmed milk","1981M07",NA
"94","Skimmed Milk","1981M07",NA
"95","Semi-skimmed milk","1981M07",NA
"96","All Milk","1981M08",40.1
"97","Whole Milk","1981M08",40.1
"98","Skimmed and Semi-skimmed milk","1981M08",NA
"99","Skimmed Milk","1981M08",NA
"100","Semi-skimmed milk","1981M08",NA
"101","All Milk","1981M09",39.6
"102","Whole Milk","1981M09",39.6
"103","Skimmed and Semi-skimmed milk","1981M09",NA
"104","Skimmed Milk","1981M09",NA
"105","Semi-skimmed milk","1981M09",NA
"106","All Milk","1981M10",38.8
"107","Whole Milk","1981M10",38.8
"108","Skimmed and Semi-skimmed milk","1981M10",NA
"109","Skimmed Milk","1981M10",NA
"110","Semi-skimmed milk","1981M10",NA
"111","All Milk","1981M11",38.8
"112","Whole Milk","1981M11",38.8
"113","Skimmed and Semi-skimmed milk","1981M11",NA
"114","Skimmed Milk","1981M11",NA
"115","Semi-skimmed milk","1981M11",NA
"116","All Milk","1981M12",39.3
"117","Whole Milk","1981M12",39.3
"118","Skimmed and Semi-skimmed milk","1981M12",NA
"119","Skimmed Milk","1981M12",NA
"120","Semi-skimmed milk","1981M12",NA
"121","All Milk","1982M01",40.3
"122","Whole Milk","1982M01",40.3
"123","Skimmed and Semi-skimmed milk","1982M01",NA
"124","Skimmed Milk","1982M01",NA
"125","Semi-skimmed milk","1982M01",NA
"126","All Milk","1982M02",39.2
"127","Whole Milk","1982M02",39.2
"128","Skimmed and Semi-skimmed milk","1982M02",NA
"129","Skimmed Milk","1982M02",NA
"130","Semi-skimmed milk","1982M02",NA
