"","Product","Month","value"
"1","Cheese","1980M01",0
"2","Butter","1980M01",1.8
"3","Skimmed Milk Powder","1980M01",1.6
"4","Butter and butteroil","1980M01",NA
"5","Cheese","1980M02",0.2
"6","Butter","1980M02",4.4
"7","Skimmed Milk Powder","1980M02",4.4
"8","Butter and butteroil","1980M02",NA
"9","Cheese","1980M03",1.7
"10","Butter","1980M03",8.7
"11","Skimmed Milk Powder","1980M03",9
"12","Butter and butteroil","1980M03",NA
"13","Cheese","1980M04",1.9
"14","Butter","1980M04",13.7
"15","Skimmed Milk Powder","1980M04",17.8
"16","Butter and butteroil","1980M04",NA
"17","Cheese","1980M05",2.6
"18","Butter","1980M05",17.3
"19","Skimmed Milk Powder","1980M05",28.7
"20","Butter and butteroil","1980M05",NA
"21","Cheese","1980M06",2.5
"22","Butter","1980M06",15.5
"23","Skimmed Milk Powder","1980M06",24.2
"24","Butter and butteroil","1980M06",NA
"25","Cheese","1980M07",2.4
"26","Butter","1980M07",14.6
"27","Skimmed Milk Powder","1980M07",24.1
"28","Butter and butteroil","1980M07",NA
"29","Cheese","1980M08",2.2
"30","Butter","1980M08",12.2
"31","Skimmed Milk Powder","1980M08",13.9
"32","Butter and butteroil","1980M08",NA
"33","Cheese","1980M09",2.2
"34","Butter","1980M09",9.7
"35","Skimmed Milk Powder","1980M09",8.2
"36","Butter and butteroil","1980M09",NA
"37","Cheese","1980M10",1.8
"38","Butter","1980M10",8
"39","Skimmed Milk Powder","1980M10",5.1
"40","Butter and butteroil","1980M10",NA
"41","Cheese","1980M11",0.5
"42","Butter","1980M11",3.5
"43","Skimmed Milk Powder","1980M11",1.8
"44","Butter and butteroil","1980M11",NA
"45","Cheese","1980M12",0.1
"46","Butter","1980M12",1.6
"47","Skimmed Milk Powder","1980M12",1.2
"48","Butter and butteroil","1980M12",NA
"49","Cheese","1981M01",0
"50","Butter","1981M01",1.8
"51","Skimmed Milk Powder","1981M01",1.9
"52","Butter and butteroil","1981M01",NA
"53","Cheese","1981M02",0.3
"54","Butter","1981M02",4.7
"55","Skimmed Milk Powder","1981M02",5
"56","Butter and butteroil","1981M02",NA
"57","Cheese","1981M03",2
"58","Butter","1981M03",9.4
"59","Skimmed Milk Powder","1981M03",8.6
"60","Butter and butteroil","1981M03",NA
"61","Cheese","1981M04",6.8
"62","Butter","1981M04",13.4
"63","Skimmed Milk Powder","1981M04",18.8
"64","Butter and butteroil","1981M04",NA
"65","Cheese","1981M05",9.2
"66","Butter","1981M05",15.2
"67","Skimmed Milk Powder","1981M05",26.4
"68","Butter and butteroil","1981M05",NA
"69","Cheese","1981M06",9.4
"70","Butter","1981M06",16.3
"71","Skimmed Milk Powder","1981M06",23.2
"72","Butter and butteroil","1981M06",NA
"73","Cheese","1981M07",10.3
"74","Butter","1981M07",14.9
"75","Skimmed Milk Powder","1981M07",21.4
"76","Butter and butteroil","1981M07",NA
"77","Cheese","1981M08",7.9
"78","Butter","1981M08",12.9
"79","Skimmed Milk Powder","1981M08",17.2
"80","Butter and butteroil","1981M08",NA
"81","Cheese","1981M09",7.6
"82","Butter","1981M09",10.2
"83","Skimmed Milk Powder","1981M09",9.4
"84","Butter and butteroil","1981M09",NA
"85","Cheese","1981M10",3.2
"86","Butter","1981M10",8.4
"87","Skimmed Milk Powder","1981M10",6.5
"88","Butter and butteroil","1981M10",NA
"89","Cheese","1981M11",0.4
"90","Butter","1981M11",3.4
"91","Skimmed Milk Powder","1981M11",2.7
"92","Butter and butteroil","1981M11",NA
"93","Cheese","1981M12",0.2
"94","Butter","1981M12",1.6
"95","Skimmed Milk Powder","1981M12",1.8
"96","Butter and butteroil","1981M12",NA
"97","Cheese","1982M01",0.1
"98","Butter","1982M01",2.1
"99","Skimmed Milk Powder","1982M01",2.7
"100","Butter and butteroil","1982M01",NA
"101","Cheese","1982M02",0.5
"102","Butter","1982M02",5.3
"103","Skimmed Milk Powder","1982M02",7.1
"104","Butter and butteroil","1982M02",NA
"105","Cheese","1982M03",2.5
"106","Butter","1982M03",10.3
"107","Skimmed Milk Powder","1982M03",10.2
"108","Butter and butteroil","1982M03",NA
"109","Cheese","1982M04",7.3
"110","Butter","1982M04",14.8
"111","Skimmed Milk Powder","1982M04",17.1
"112","Butter and butteroil","1982M04",NA
"113","Cheese","1982M05",9.8
"114","Butter","1982M05",18.7
"115","Skimmed Milk Powder","1982M05",27.4
"116","Butter and butteroil","1982M05",NA
"117","Cheese","1982M06",10.1
"118","Butter","1982M06",19.5
"119","Skimmed Milk Powder","1982M06",27.2
"120","Butter and butteroil","1982M06",NA
"121","Cheese","1982M07",9.3
"122","Butter","1982M07",16.3
"123","Skimmed Milk Powder","1982M07",20.8
"124","Butter and butteroil","1982M07",NA
"125","Cheese","1982M08",8.3
"126","Butter","1982M08",13.9
"127","Skimmed Milk Powder","1982M08",12.9
"128","Butter and butteroil","1982M08",NA
"129","Cheese","1982M09",6.3
"130","Butter","1982M09",13
"131","Skimmed Milk Powder","1982M09",9.7
"132","Butter and butteroil","1982M09",NA
"133","Cheese","1982M10",2.6
"134","Butter","1982M10",10.8
"135","Skimmed Milk Powder","1982M10",6.5
"136","Butter and butteroil","1982M10",NA
"137","Cheese","1982M11",0.2
"138","Butter","1982M11",5.4
"139","Skimmed Milk Powder","1982M11",3.7
"140","Butter and butteroil","1982M11",NA
"141","Cheese","1982M12",0
"142","Butter","1982M12",2.7
"143","Skimmed Milk Powder","1982M12",2.5
"144","Butter and butteroil","1982M12",NA
"145","Cheese","1983M01",0.1
"146","Butter","1983M01",3.2
"147","Skimmed Milk Powder","1983M01",4.3
"148","Butter and butteroil","1983M01",NA
"149","Cheese","1983M02",0.8
"150","Butter","1983M02",6.7
"151","Skimmed Milk Powder","1983M02",7
"152","Butter and butteroil","1983M02",NA
"153","Cheese","1983M03",2.9
"154","Butter","1983M03",13.2
"155","Skimmed Milk Powder","1983M03",14.6
"156","Butter and butteroil","1983M03",NA
"157","Cheese","1983M04",6.6
"158","Butter","1983M04",17.6
"159","Skimmed Milk Powder","1983M04",21.7
"160","Butter and butteroil","1983M04",NA
"161","Cheese","1983M05",9.6
"162","Butter","1983M05",22.1
"163","Skimmed Milk Powder","1983M05",30.9
"164","Butter and butteroil","1983M05",NA
"165","Cheese","1983M06",10.1
"166","Butter","1983M06",22.9
"167","Skimmed Milk Powder","1983M06",31
"168","Butter and butteroil","1983M06",NA
"169","Cheese","1983M07",8
"170","Butter","1983M07",19.2
"171","Skimmed Milk Powder","1983M07",24
"172","Butter and butteroil","1983M07",NA
"173","Cheese","1983M08",6.5
"174","Butter","1983M08",17.8
"175","Skimmed Milk Powder","1983M08",16.8
"176","Butter and butteroil","1983M08",NA
"177","Cheese","1983M09",6.3
"178","Butter","1983M09",14.9
"179","Skimmed Milk Powder","1983M09",9.7
"180","Butter and butteroil","1983M09",NA
"181","Cheese","1983M10",2.2
"182","Butter","1983M10",11.5
"183","Skimmed Milk Powder","1983M10",7.1
"184","Butter and butteroil","1983M10",NA
"185","Cheese","1983M11",0.4
"186","Butter","1983M11",6
"187","Skimmed Milk Powder","1983M11",3.9
"188","Butter and butteroil","1983M11",NA
"189","Cheese","1983M12",0
"190","Butter","1983M12",3.1
"191","Skimmed Milk Powder","1983M12",3
"192","Butter and butteroil","1983M12",NA
"193","Cheese","1984M01",0.2
