"","Region","Year","Statistic","value"
"1","State","1995","All Livestock (Euro Million)",2349.12
"2","Dublin plus Mid East","1995","All Livestock (Euro Million)",209.16
"3","Border, Midland and Western","1995","All Livestock (Euro Million)",964.8
"4","Border","1995","All Livestock (Euro Million)",425.15
"5","Midland","1995","All Livestock (Euro Million)",235.31
"6","West","1995","All Livestock (Euro Million)",304.35
"7","Southern and Eastern","1995","All Livestock (Euro Million)",1384.32
"8","Mid-West","1995","All Livestock (Euro Million)",295.24
"9","South-East","1995","All Livestock (Euro Million)",425.6
"10","South-West","1995","All Livestock (Euro Million)",454.31
"11","State","1996","All Livestock (Euro Million)",2318.2
"12","Dublin plus Mid East","1996","All Livestock (Euro Million)",209.63
"13","Border, Midland and Western","1996","All Livestock (Euro Million)",959.33
"14","Border","1996","All Livestock (Euro Million)",428.08
"15","Midland","1996","All Livestock (Euro Million)",230.42
"16","West","1996","All Livestock (Euro Million)",300.83
"17","Southern and Eastern","1996","All Livestock (Euro Million)",1358.87
"18","Mid-West","1996","All Livestock (Euro Million)",276.71
"19","South-East","1996","All Livestock (Euro Million)",424.47
"20","South-West","1996","All Livestock (Euro Million)",448.06
"21","State","1997","All Livestock (Euro Million)",2205.52
"22","Dublin plus Mid East","1997","All Livestock (Euro Million)",195.54
"23","Border, Midland and Western","1997","All Livestock (Euro Million)",912
"24","Border","1997","All Livestock (Euro Million)",406.93
"25","Midland","1997","All Livestock (Euro Million)",217.47
"26","West","1997","All Livestock (Euro Million)",287.6
"27","Southern and Eastern","1997","All Livestock (Euro Million)",1293.52
"28","Mid-West","1997","All Livestock (Euro Million)",268.74
"29","South-East","1997","All Livestock (Euro Million)",397.8
"30","South-West","1997","All Livestock (Euro Million)",431.44
"31","State","1998","All Livestock (Euro Million)",2152.48
"32","Dublin plus Mid East","1998","All Livestock (Euro Million)",196.75
"33","Border, Midland and Western","1998","All Livestock (Euro Million)",897.06
"34","Border","1998","All Livestock (Euro Million)",400.02
"35","Midland","1998","All Livestock (Euro Million)",212.86
"36","West","1998","All Livestock (Euro Million)",284.18
"37","Southern and Eastern","1998","All Livestock (Euro Million)",1255.42
"38","Mid-West","1998","All Livestock (Euro Million)",265.85
