"","Statistic","Year","Product.Type","value"
"1","Usable Dairy Production (Tonnes)","1992","Cheese",94
"2","Dairy Imports (Tonnes)","1992","Cheese",15
"3","Supplies = Uses of Milk Products (Tonnes)","1992","Cheese",NA
"4","Dairy Exports (Tonnes)","1992","Cheese",96
"5","Variation in Dairy Stocks (Tonnes)","1992","Cheese",-7
"6","Dairy Products for Domestic Use (Tonnes)","1992","Cheese",19
"7","Dairy Products for Industrial Uses (Tonnes)","1992","Cheese",0
"8","Human Consumption of Dairy Products (Tonnes)","1992","Cheese",19
"9","Consumption per Person of Dairy Products (Litres)","1992","Cheese",NA
"10","Consumption per Person of Dairy Products (Kg)","1992","Cheese",5
"11","Self Sufficiency in Dairy Products (%)","1992","Cheese",552
"12","Usable Dairy Production (Tonnes)","1993","Cheese",93
"13","Dairy Imports (Tonnes)","1993","Cheese",13
"14","Supplies = Uses of Milk Products (Tonnes)","1993","Cheese",NA
"15","Dairy Exports (Tonnes)","1993","Cheese",83
"16","Variation in Dairy Stocks (Tonnes)","1993","Cheese",3
"17","Dairy Products for Domestic Use (Tonnes)","1993","Cheese",19
"18","Dairy Products for Industrial Uses (Tonnes)","1993","Cheese",0
"19","Human Consumption of Dairy Products (Tonnes)","1993","Cheese",19
"20","Consumption per Person of Dairy Products (Litres)","1993","Cheese",NA
"21","Consumption per Person of Dairy Products (Kg)","1993","Cheese",5
"22","Self Sufficiency in Dairy Products (%)","1993","Cheese",486
"23","Usable Dairy Production (Tonnes)","1994","Cheese",93
"24","Dairy Imports (Tonnes)","1994","Cheese",15
"25","Supplies = Uses of Milk Products (Tonnes)","1994","Cheese",NA
"26","Dairy Exports (Tonnes)","1994","Cheese",89
"27","Variation in Dairy Stocks (Tonnes)","1994","Cheese",0
"28","Dairy Products for Domestic Use (Tonnes)","1994","Cheese",19
"29","Dairy Products for Industrial Uses (Tonnes)","1994","Cheese",0
"30","Human Consumption of Dairy Products (Tonnes)","1994","Cheese",19
"31","Consumption per Person of Dairy Products (Litres)","1994","Cheese",NA
"32","Consumption per Person of Dairy Products (Kg)","1994","Cheese",5
"33","Self Sufficiency in Dairy Products (%)","1994","Cheese",483
"34","Usable Dairy Production (Tonnes)","1995","Cheese",85
"35","Dairy Imports (Tonnes)","1995","Cheese",12
"36","Supplies = Uses of Milk Products (Tonnes)","1995","Cheese",NA
"37","Dairy Exports (Tonnes)","1995","Cheese",75
"38","Variation in Dairy Stocks (Tonnes)","1995","Cheese",1
"39","Dairy Products for Domestic Use (Tonnes)","1995","Cheese",21
"40","Dairy Products for Industrial Uses (Tonnes)","1995","Cheese",0
"41","Human Consumption of Dairy Products (Tonnes)","1995","Cheese",21
"42","Consumption per Person of Dairy Products (Litres)","1995","Cheese",NA
"43","Consumption per Person of Dairy Products (Kg)","1995","Cheese",6
"44","Self Sufficiency in Dairy Products (%)","1995","Cheese",408
"45","Usable Dairy Production (Tonnes)","1996","Cheese",104
"46","Dairy Imports (Tonnes)","1996","Cheese",17
"47","Supplies = Uses of Milk Products (Tonnes)","1996","Cheese",NA
"48","Dairy Exports (Tonnes)","1996","Cheese",91
"49","Variation in Dairy Stocks (Tonnes)","1996","Cheese",6
"50","Dairy Products for Domestic Use (Tonnes)","1996","Cheese",24
"51","Dairy Products for Industrial Uses (Tonnes)","1996","Cheese",0
"52","Human Consumption of Dairy Products (Tonnes)","1996","Cheese",24
"53","Consumption per Person of Dairy Products (Litres)","1996","Cheese",NA
"54","Consumption per Person of Dairy Products (Kg)","1996","Cheese",7
"55","Self Sufficiency in Dairy Products (%)","1996","Cheese",435
"56","Usable Dairy Production (Tonnes)","1997","Cheese",101
"57","Dairy Imports (Tonnes)","1997","Cheese",17
"58","Supplies = Uses of Milk Products (Tonnes)","1997","Cheese",NA
"59","Dairy Exports (Tonnes)","1997","Cheese",78
"60","Variation in Dairy Stocks (Tonnes)","1997","Cheese",16
"61","Dairy Products for Domestic Use (Tonnes)","1997","Cheese",23
"62","Dairy Products for Industrial Uses (Tonnes)","1997","Cheese",0
"63","Human Consumption of Dairy Products (Tonnes)","1997","Cheese",23
