"","Statistic","Year","Type.of.Crop","value"
"1","Usable Cereal Production (000 Tonnes)","1993","14",NA
"2","Cereal Imports (000 Tonnes)","1993","14",NA
"3","Supplies = Uses of Cereal Products (000 Tonnes)","1993","14",NA
"4","Cereal Exports (000 Tonnes)","1993","14",NA
"5","Variation in Cereal Stocks (000 Tonnes)","1993","14",NA
"6","Cereal Products for Domestic Use (000 Tonnes)","1993","14",NA
"7","Cereal Products for Other Uses (000 Tonnes)","1993","14",NA
"8","Human Consumption of Cereal Products (000 Tonnes)","1993","14",NA
"9","Consumption per Person of Cereal Products (Kg)","1993","14",NA
"10","Self Sufficiency in Cereal Products (%)","1993","14",NA
"11","Usable Cereal Production (000 Tonnes)","1994","14",NA
"12","Cereal Imports (000 Tonnes)","1994","14",NA
"13","Supplies = Uses of Cereal Products (000 Tonnes)","1994","14",NA
"14","Cereal Exports (000 Tonnes)","1994","14",NA
"15","Variation in Cereal Stocks (000 Tonnes)","1994","14",NA
"16","Cereal Products for Domestic Use (000 Tonnes)","1994","14",NA
"17","Cereal Products for Other Uses (000 Tonnes)","1994","14",NA
"18","Human Consumption of Cereal Products (000 Tonnes)","1994","14",NA
"19","Consumption per Person of Cereal Products (Kg)","1994","14",NA
"20","Self Sufficiency in Cereal Products (%)","1994","14",NA
"21","Usable Cereal Production (000 Tonnes)","1995","14",NA
"22","Cereal Imports (000 Tonnes)","1995","14",NA
"23","Supplies = Uses of Cereal Products (000 Tonnes)","1995","14",NA
"24","Cereal Exports (000 Tonnes)","1995","14",NA
"25","Variation in Cereal Stocks (000 Tonnes)","1995","14",NA
"26","Cereal Products for Domestic Use (000 Tonnes)","1995","14",NA
"27","Cereal Products for Other Uses (000 Tonnes)","1995","14",NA
"28","Human Consumption of Cereal Products (000 Tonnes)","1995","14",NA
"29","Consumption per Person of Cereal Products (Kg)","1995","14",NA
"30","Self Sufficiency in Cereal Products (%)","1995","14",NA
"31","Usable Cereal Production (000 Tonnes)","1996","14",NA
"32","Cereal Imports (000 Tonnes)","1996","14",NA
"33","Supplies = Uses of Cereal Products (000 Tonnes)","1996","14",NA
"34","Cereal Exports (000 Tonnes)","1996","14",NA
"35","Variation in Cereal Stocks (000 Tonnes)","1996","14",NA
"36","Cereal Products for Domestic Use (000 Tonnes)","1996","14",NA
"37","Cereal Products for Other Uses (000 Tonnes)","1996","14",NA
"38","Human Consumption of Cereal Products (000 Tonnes)","1996","14",NA
"39","Consumption per Person of Cereal Products (Kg)","1996","14",NA
"40","Self Sufficiency in Cereal Products (%)","1996","14",NA
"41","Usable Cereal Production (000 Tonnes)","1997","14",NA
"42","Cereal Imports (000 Tonnes)","1997","14",NA
"43","Supplies = Uses of Cereal Products (000 Tonnes)","1997","14",NA
"44","Cereal Exports (000 Tonnes)","1997","14",NA
"45","Variation in Cereal Stocks (000 Tonnes)","1997","14",NA
"46","Cereal Products for Domestic Use (000 Tonnes)","1997","14",NA
"47","Cereal Products for Other Uses (000 Tonnes)","1997","14",NA
"48","Human Consumption of Cereal Products (000 Tonnes)","1997","14",NA
"49","Consumption per Person of Cereal Products (Kg)","1997","14",NA
"50","Self Sufficiency in Cereal Products (%)","1997","14",NA
"51","Usable Cereal Production (000 Tonnes)","1998","14",NA
"52","Cereal Imports (000 Tonnes)","1998","14",NA
"53","Supplies = Uses of Cereal Products (000 Tonnes)","1998","14",NA
"54","Cereal Exports (000 Tonnes)","1998","14",NA
"55","Variation in Cereal Stocks (000 Tonnes)","1998","14",NA
"56","Cereal Products for Domestic Use (000 Tonnes)","1998","14",NA
"57","Cereal Products for Other Uses (000 Tonnes)","1998","14",NA
"58","Human Consumption of Cereal Products (000 Tonnes)","1998","14",NA
"59","Consumption per Person of Cereal Products (Kg)","1998","14",NA
"60","Self Sufficiency in Cereal Products (%)","1998","14",NA
"61","Usable Cereal Production (000 Tonnes)","1999","14",NA
"62","Cereal Imports (000 Tonnes)","1999","14",NA
"63","Supplies = Uses of Cereal Products (000 Tonnes)","1999","14",NA
"64","Cereal Exports (000 Tonnes)","1999","14",NA
"65","Variation in Cereal Stocks (000 Tonnes)","1999","14",NA
"66","Cereal Products for Domestic Use (000 Tonnes)","1999","14",NA
"67","Cereal Products for Other Uses (000 Tonnes)","1999","14",NA
"68","Human Consumption of Cereal Products (000 Tonnes)","1999","14",NA
"69","Consumption per Person of Cereal Products (Kg)","1999","14",NA
"70","Self Sufficiency in Cereal Products (%)","1999","14",NA
"71","Usable Cereal Production (000 Tonnes)","2000","14",NA
"72","Cereal Imports (000 Tonnes)","2000","14",NA
"73","Supplies = Uses of Cereal Products (000 Tonnes)","2000","14",NA
"74","Cereal Exports (000 Tonnes)","2000","14",NA
"75","Variation in Cereal Stocks (000 Tonnes)","2000","14",NA
"76","Cereal Products for Domestic Use (000 Tonnes)","2000","14",NA
"77","Cereal Products for Other Uses (000 Tonnes)","2000","14",NA
"78","Human Consumption of Cereal Products (000 Tonnes)","2000","14",NA
"79","Consumption per Person of Cereal Products (Kg)","2000","14",NA
"80","Self Sufficiency in Cereal Products (%)","2000","14",NA
"81","Usable Cereal Production (000 Tonnes)","2001","14",NA
"82","Cereal Imports (000 Tonnes)","2001","14",NA
"83","Supplies = Uses of Cereal Products (000 Tonnes)","2001","14",NA
"84","Cereal Exports (000 Tonnes)","2001","14",NA
"85","Variation in Cereal Stocks (000 Tonnes)","2001","14",NA
"86","Cereal Products for Domestic Use (000 Tonnes)","2001","14",NA
"87","Cereal Products for Other Uses (000 Tonnes)","2001","14",NA
"88","Human Consumption of Cereal Products (000 Tonnes)","2001","14",NA
"89","Consumption per Person of Cereal Products (Kg)","2001","14",NA
"90","Self Sufficiency in Cereal Products (%)","2001","14",NA
"91","Usable Cereal Production (000 Tonnes)","2002","14",NA
"92","Cereal Imports (000 Tonnes)","2002","14",NA
"93","Supplies = Uses of Cereal Products (000 Tonnes)","2002","14",NA
"94","Cereal Exports (000 Tonnes)","2002","14",NA
"95","Variation in Cereal Stocks (000 Tonnes)","2002","14",NA
"96","Cereal Products for Domestic Use (000 Tonnes)","2002","14",NA
"97","Cereal Products for Other Uses (000 Tonnes)","2002","14",NA
"98","Human Consumption of Cereal Products (000 Tonnes)","2002","14",NA
"99","Consumption per Person of Cereal Products (Kg)","2002","14",NA
"100","Self Sufficiency in Cereal Products (%)","2002","14",NA
"101","Usable Cereal Production (000 Tonnes)","2003","14",NA
"102","Cereal Imports (000 Tonnes)","2003","14",NA
"103","Supplies = Uses of Cereal Products (000 Tonnes)","2003","14",NA
"104","Cereal Exports (000 Tonnes)","2003","14",NA
"105","Variation in Cereal Stocks (000 Tonnes)","2003","14",NA
"106","Cereal Products for Domestic Use (000 Tonnes)","2003","14",NA
"107","Cereal Products for Other Uses (000 Tonnes)","2003","14",NA
"108","Human Consumption of Cereal Products (000 Tonnes)","2003","14",NA
"109","Consumption per Person of Cereal Products (Kg)","2003","14",NA
"110","Self Sufficiency in Cereal Products (%)","2003","14",NA
"111","Usable Cereal Production (000 Tonnes)","2004","14",NA
"112","Cereal Imports (000 Tonnes)","2004","14",NA
"113","Supplies = Uses of Cereal Products (000 Tonnes)","2004","14",NA
"114","Cereal Exports (000 Tonnes)","2004","14",NA
