"","Statistic","Year","Crop.Type","value"
"1","Cereal Seeds (000 Tonnes)","1993","Principal cereals",47
"2","Cereal Losses (000 Tonnes)","1993","Principal cereals",138
"3","Cereal Feeding Stuffs (000 Tonnes)","1993","Principal cereals",1111
"4","Cereal Products for Industrial Use (000 Tonnes)","1993","Principal cereals",181
"5","Cereal Seeds (000 Tonnes)","1994","Principal cereals",45
"6","Cereal Losses (000 Tonnes)","1994","Principal cereals",112
"7","Cereal Feeding Stuffs (000 Tonnes)","1994","Principal cereals",1117
"8","Cereal Products for Industrial Use (000 Tonnes)","1994","Principal cereals",143
"9","Cereal Seeds (000 Tonnes)","1995","Principal cereals",45
"10","Cereal Losses (000 Tonnes)","1995","Principal cereals",156
"11","Cereal Feeding Stuffs (000 Tonnes)","1995","Principal cereals",1345
"12","Cereal Products for Industrial Use (000 Tonnes)","1995","Principal cereals",104
"13","Cereal Seeds (000 Tonnes)","1996","Principal cereals",48
"14","Cereal Losses (000 Tonnes)","1996","Principal cereals",29
"15","Cereal Feeding Stuffs (000 Tonnes)","1996","Principal cereals",1530
"16","Cereal Products for Industrial Use (000 Tonnes)","1996","Principal cereals",149
"17","Cereal Seeds (000 Tonnes)","1997","Principal cereals",52
"18","Cereal Losses (000 Tonnes)","1997","Principal cereals",125
"19","Cereal Feeding Stuffs (000 Tonnes)","1997","Principal cereals",1297
"20","Cereal Products for Industrial Use (000 Tonnes)","1997","Principal cereals",198
"21","Cereal Seeds (000 Tonnes)","1998","Principal cereals",49
"22","Cereal Losses (000 Tonnes)","1998","Principal cereals",127
"23","Cereal Feeding Stuffs (000 Tonnes)","1998","Principal cereals",1439
"24","Cereal Products for Industrial Use (000 Tonnes)","1998","Principal cereals",211
"25","Cereal Seeds (000 Tonnes)","1999","Principal cereals",47
"26","Cereal Losses (000 Tonnes)","1999","Principal cereals",105
"27","Cereal Feeding Stuffs (000 Tonnes)","1999","Principal cereals",1532
"28","Cereal Products for Industrial Use (000 Tonnes)","1999","Principal cereals",214
"29","Cereal Seeds (000 Tonnes)","2000","Principal cereals",47
"30","Cereal Losses (000 Tonnes)","2000","Principal cereals",96
"31","Cereal Feeding Stuffs (000 Tonnes)","2000","Principal cereals",1772
"32","Cereal Products for Industrial Use (000 Tonnes)","2000","Principal cereals",248
"33","Cereal Seeds (000 Tonnes)","2001","Principal cereals",48
"34","Cereal Losses (000 Tonnes)","2001","Principal cereals",103
"35","Cereal Feeding Stuffs (000 Tonnes)","2001","Principal cereals",1593
"36","Cereal Products for Industrial Use (000 Tonnes)","2001","Principal cereals",277
"37","Cereal Seeds (000 Tonnes)","2002","Principal cereals",51
"38","Cereal Losses (000 Tonnes)","2002","Principal cereals",95
"39","Cereal Feeding Stuffs (000 Tonnes)","2002","Principal cereals",1634
"40","Cereal Products for Industrial Use (000 Tonnes)","2002","Principal cereals",276
"41","Cereal Seeds (000 Tonnes)","2003","Principal cereals",51
"42","Cereal Losses (000 Tonnes)","2003","Principal cereals",96
