"","Statistic","Year","Type.of.Meat","value"
"1","Meat Slaughterings (000 Tonnes)","1992","Total Meat",948
"2","Meat Imports (000 Tonnes)","1992","Total Meat",52
"3","Supplies = Uses of Meat Products (000 Tonnes)","1992","Total Meat",1000
"4","Meat Exports (000 Tonnes)","1992","Total Meat",713
"5","Variation in Meat Stocks (000 Tonnes)","1992","Total Meat",-19
"6","Meat Products for Domestic Use (000 Tonnes)","1992","Total Meat",305
"7","Human Consumption of Meat Products (000 Tonnes)","1992","Total Meat",85.9
"8","Meat Gross Indigenous Production (000 Tonnes)","1992","Total Meat",968
"9","Self Sufficiency in Meat Products (%)","1992","Total Meat",317.2
"10","Meat Slaughterings (000 Tonnes)","1993","Total Meat",915
"11","Meat Imports (000 Tonnes)","1993","Total Meat",43
"12","Supplies = Uses of Meat Products (000 Tonnes)","1993","Total Meat",959
"13","Meat Exports (000 Tonnes)","1993","Total Meat",671
"14","Variation in Meat Stocks (000 Tonnes)","1993","Total Meat",-23
"15","Meat Products for Domestic Use (000 Tonnes)","1993","Total Meat",310
"16","Human Consumption of Meat Products (000 Tonnes)","1993","Total Meat",87.4
"17","Meat Gross Indigenous Production (000 Tonnes)","1993","Total Meat",1000
"18","Self Sufficiency in Meat Products (%)","1993","Total Meat",322
"19","Meat Slaughterings (000 Tonnes)","1994","Total Meat",859
"20","Meat Imports (000 Tonnes)","1994","Total Meat",63
"21","Supplies = Uses of Meat Products (000 Tonnes)","1994","Total Meat",923
"22","Meat Exports (000 Tonnes)","1994","Total Meat",781
"23","Variation in Meat Stocks (000 Tonnes)","1994","Total Meat",-174
"24","Meat Products for Domestic Use (000 Tonnes)","1994","Total Meat",316
"25","Human Consumption of Meat Products (000 Tonnes)","1994","Total Meat",88.2
"26","Meat Gross Indigenous Production (000 Tonnes)","1994","Total Meat",954
"27","Self Sufficiency in Meat Products (%)","1994","Total Meat",302
"28","Meat Slaughterings (000 Tonnes)","1995","Total Meat",899
"29","Meat Imports (000 Tonnes)","1995","Total Meat",77
"30","Supplies = Uses of Meat Products (000 Tonnes)","1995","Total Meat",976
"31","Meat Exports (000 Tonnes)","1995","Total Meat",817
"32","Variation in Meat Stocks (000 Tonnes)","1995","Total Meat",-167
