"Value at Current Prices for Output, Input and Income in Agriculture by"
"State, statistical indicator and Year"

" "," ","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"State"
" ","All Livestock (Euro Million)",2201.9,2114.0,2262.5,2449.6,2319.3,2349.1,2318.2,2205.5,2152.5,2067.9,2170.6,2175.1,2014.8,2065.4,2212.8,2273.8,2386.8,2378.7,2541.7,2222.8,2282.4,2654.7,3118.6,3171.8
" ","Livestock - Cattle (Euro Million)",1575.6,1477.4,1603.5,1758.7,1614.0,1659.1,1482.7,1382.6,1385.0,1330.7,1382.1,1260.3,1179.0,1244.0,1346.1,1406.2,1494.5,1503.5,1686.5,1475.6,1502.3,1794.9,2119.5,2144.3
" ","Livestock - Pigs (Euro Million)",237.2,242.1,280.4,257.9,264.5,295.5,356.5,337.0,282.6,251.4,296.7,346.1,300.9,285.1,297.5,292.9,321.5,288.6,330.1,300.0,333.7,394.2,441.5,473.1
" ","Livestock - Sheep (Euro Million)",188.8,198.9,192.8,232.4,230.2,190.7,241.8,230.0,214.0,198.0,203.5,284.4,202.2,193.3,200.4,194.2,193.1,184.5,173.8,159.4,165.6,189.8,204.4,215.9
" ","Livestock - Horses (Euro Million)",83.2,70.2,61.4,84.5,75.9,70.1,96.9,106.9,128.7,150.0,164.4,146.5,200.7,204.3,217.6,234.0,263.5,269.3,228.5,172.7,150.8,136.6,194.7,..
" ","Livestock - Poultry (Euro Million)",117.1,125.5,124.5,116.0,134.6,133.8,140.4,149.1,142.2,137.8,124.0,137.7,132.1,138.7,151.2,146.5,114.3,133.0,122.7,115.1,130.1,139.2,158.4,..
" ","All Livestock Products (Euro Million)",1360.0,1301.9,1410.7,1476.7,1487.6,1580.8,1573.9,1450.9,1465.9,1438.1,1484.3,1604.2,1451.0,1470.6,1459.3,1389.5,1380.2,1716.1,1681.5,1153.9,1590.9,1894.0,1701.8,2123.4
" ","All Livestock Products - Milk (Euro Million)",1316.3,1258.9,1373.1,1439.0,1446.2,1538.5,1536.0,1414.5,1431.2,1408.8,1447.1,1566.1,1413.0,1431.3,1417.8,1342.1,1332.5,1667.5,1628.1,1106.5,1541.9,1834.8,1629.8,2056.3
" ","All Livestock Products -Other Products (excluding Milk) (Euro Million)",43.7,43.0,37.6,37.7,41.4,42.3,37.9,36.3,34.7,29.3,37.2,38.1,37.9,39.3,41.6,47.3,47.7,48.6,53.4,47.4,49.0,59.2,72.0,..
" ","All Crops (Euro Million)",1123.5,1127.3,1154.4,1101.7,1157.0,1217.2,1268.7,1102.6,1127.9,1184.3,1228.6,1322.5,1245.3,1302.7,1350.6,1378.1,1461.3,1632.7,1657.1,1377.9,1506.5,1759.5,1896.3,1811.7
" ","All Cereals (Euro Million)",216.7,218.6,235.4,165.7,127.3,159.4,200.9,160.0,143.1,164.1,185.1,169.8,141.9,171.7,181.4,125.7,159.7,241.8,197.0,107.0,192.9,290.2,336.6,227.4
" ","Crops - Barley (Euro Million)",127.5,123.4,132.4,94.0,73.7,110.1,123.5,92.7,84.3,106.8,114.2,105.3,73.1,102.2,98.6,67.2,85.1,137.7,113.6,63.9,118.3,163.2,210.1,..
" ","Crops - Wheat (Euro Million)",79.4,85.3,91.8,61.5,46.0,42.8,68.4,59.4,51.5,48.5,63.0,57.8,61.2,59.5,72.4,51.6,61.8,83.5,72.2,33.9,59.9,106.2,102.9,..
" ","Crops - Oats (Euro Million)",9.8,10.0,11.2,10.3,7.6,6.5,9.1,7.9,7.4,8.8,7.9,6.7,7.6,10.0,10.4,6.9,12.8,20.6,11.2,9.2,14.6,20.8,23.6,..
" ","Crops - Potatoes (Euro Million)",72.3,88.8,97.3,83.4,127.7,130.5,94.7,52.6,103.1,118.0,58.8,98.1,96.5,98.7,89.1,78.8,104.2,103.9,79.9,86.6,106.2,80.4,79.5,..
" ","Crops - Suger Beet (Euro Million)",70.5,69.1,72.5,64.2,76.4,77.1,74.5,70.7,74.4,72.9,74.9,75.1,72.1,75.6,75.6,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..
" ","Crops - Mushrooms (Euro Million)",57.1,63.5,64.8,68.1,76.3,78.0,92.3,101.9,106.7,111.4,114.8,115.6,137.7,124.5,114.7,110.0,99.9,99.6,102.8,98.8,98.5,100.3,111.9,..
