year_month,cpi_1914,cpi_1947,cpi_1953,cpi_1968,cpi_1975,cpi_1982,cpi_1989,cpi_1996,cpi_2001,cpi_2006,cpi_2011
1979M01,2142.8,671.7,537.4,330.3,150.2,54.9,38.9,32.9,27.9,23.6,22.6
1979M02,2142.8,671.7,537.4,330.3,150.2,54.9,38.9,32.9,27.9,23.6,22.6
1979M03,2142.8,671.7,537.4,330.3,150.2,54.9,38.9,32.9,27.9,23.6,22.6
1979M04,2211.3,693.2,554.6,340.8,155,56.6,40.1,34,28.8,24.4,23.3
1979M05,2211.3,693.2,554.6,340.8,155,56.6,40.1,34,28.8,24.4,23.3
1979M06,2211.3,693.2,554.6,340.8,155,56.6,40.1,34,28.8,24.4,23.3
1979M07,2302.6,721.8,577.5,354.9,161.4,58.9,41.8,35.4,29.9,25.4,24.3
1979M08,2302.6,721.8,577.5,354.9,161.4,58.9,41.8,35.4,29.9,25.4,24.3
1979M09,2302.6,721.8,577.5,354.9,161.4,58.9,41.8,35.4,29.9,25.4,24.3
1979M10,2385.3,747.8,598.2,367.7,167.2,61.1,43.3,36.7,31,26.3,25.2
1979M11,2385.3,747.8,598.2,367.7,167.2,61.1,43.3,36.7,31,26.3,25.2
1979M12,2385.3,747.8,598.2,367.7,167.2,61.1,43.3,36.7,31,26.3,25.2
1980M01,2475.2,775.9,620.7,381.5,173.5,63.4,44.9,38.1,32.2,27.3,26.1
1980M02,2475.2,775.9,620.7,381.5,173.5,63.4,44.9,38.1,32.2,27.3,26.1
1980M03,2475.2,775.9,620.7,381.5,173.5,63.4,44.9,38.1,32.2,27.3,26.1
1980M04,2657.8,833.2,666.5,409.7,186.3,68,48.2,40.9,34.6,29.3,28.1
1980M05,2657.8,833.2,666.5,409.7,186.3,68,48.2,40.9,34.6,29.3,28.1
1980M06,2657.8,833.2,666.5,409.7,186.3,68,48.2,40.9,34.6,29.3,28.1
1980M07,2736.3,857.8,686.2,421.8,191.8,70,49.6,42.1,35.6,30.1,28.9
1980M08,2736.3,857.8,686.2,421.8,191.8,70,49.6,42.1,35.6,30.1,28.9
1980M09,2736.3,857.8,686.2,421.8,191.8,70,49.6,42.1,35.6,30.1,28.9
1980M10,2820.5,884.2,707.3,434.7,197.7,72.2,51.2,43.4,36.7,31.1,29.8
1980M11,2820.5,884.2,707.3,434.7,197.7,72.2,51.2,43.4,36.7,31.1,29.8
1980M12,2820.5,884.2,707.3,434.7,197.7,72.2,51.2,43.4,36.7,31.1,29.8
1981M01,2994.5,938.7,751,461.6,209.9,76.7,54.3,46,38.9,33,31.6
1981M02,2994.5,938.7,751,461.6,209.9,76.7,54.3,46,38.9,33,31.6
1981M03,2994.5,938.7,751,461.6,209.9,76.7,54.3,46,38.9,33,31.6
1981M04,3111.5,975.4,780.3,479.6,218.1,79.7,56.5,47.8,40.5,34.3,32.8
1981M05,3111.5,975.4,780.3,479.6,218.1,79.7,56.5,47.8,40.5,34.3,32.8
1981M06,3111.5,975.4,780.3,479.6,218.1,79.7,56.5,47.8,40.5,34.3,32.8
1981M07,3287,1030.4,824.3,506.6,230.4,84.2,59.7,50.5,42.8,36.2,34.7
1981M08,3287,1030.4,824.3,506.6,230.4,84.2,59.7,50.5,42.8,36.2,34.7
1981M09,3287,1030.4,824.3,506.6,230.4,84.2,59.7,50.5,42.8,36.2,34.7
1981M10,3478.1,1090.3,872.3,536.1,243.8,89,63.1,53.5,45.2,38.3,36.7
1981M11,3478.1,1090.3,872.3,536.1,243.8,89,63.1,53.5,45.2,38.3,36.7
1981M12,3478.1,1090.3,872.3,536.1,243.8,89,63.1,53.5,45.2,38.3,36.7
