year_month,cpi
1979M01,23.6
1979M02,23.6
1979M03,23.6
1979M04,24.4
1979M05,24.4
1979M06,24.4
1979M07,25.4
1979M08,25.4
1979M09,25.4
1979M10,26.3
1979M11,26.3
1979M12,26.3
1980M01,27.3
1980M02,27.3
1980M03,27.3
1980M04,29.3
1980M05,29.3
1980M06,29.3
1980M07,30.1
1980M08,30.1
1980M09,30.1
1980M10,31.1
1980M11,31.1
1980M12,31.1
1981M01,33
1981M02,33
1981M03,33
1981M04,34.3
1981M05,34.3
1981M06,34.3
1981M07,36.2
1981M08,36.2
1981M09,36.2
1981M10,38.3
1981M11,38.3
1981M12,38.3
1982M01,39.2
1982M02,39.2
1982M03,39.2
1982M04,41.5
1982M05,41.5
1982M06,41.5
1982M07,42.4
1982M08,42.4
1982M09,42.4
1982M10,43
1982M11,43
1982M12,43
1983M01,44.1
1983M02,44.1
1983M03,44.1
1983M04,45.3
1983M05,45.3
1983M06,45.3
1983M07,46.6
1983M08,46.6
1983M09,46.6
1983M10,47.5
1983M11,47.5
1983M12,47.5
1984M01,48.6
1984M02,48.6
1984M03,48.6
1984M04,49.7
1984M05,49.7
1984M06,49.7
1984M07,50.3
1984M08,50.3
1984M09,50.3
1984M10,50.7
1984M11,50.7
1984M12,50.7
1985M01,51.6
1985M02,51.6
1985M03,51.6
1985M04,52.3
1985M05,52.3
1985M06,52.3
1985M07,53.1
1985M08,53.1
1985M09,53.1
1985M10,53.2
1985M11,53.2
1985M12,53.2
1986M01,54
1986M02,54
1986M03,54
1986M04,54.6
1986M05,54.6
1986M06,54.6
1986M07,54.7
1986M08,54.7
1986M09,54.7
1986M10,54.8
1986M11,54.8
1986M12,54.8
1987M01,55.8
1987M02,55.8
1987M03,55.8
1987M04,56.2
1987M05,56.2
1987M06,56.2
1987M07,56.5
1987M08,56.5
1987M09,56.5
1987M10,56.5
1987M11,56.5
1987M12,56.5
1988M01,56.9
1988M02,56.9
1988M03,56.9
1988M04,57.2
1988M05,57.2
1988M06,57.2
1988M07,57.7
1988M08,57.7
1988M09,57.7
1988M10,58
1988M11,58
1988M12,58
1989M01,58.8
