Farm Animals in December (Thousand) by Type of Animal and Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Dairy cows,1379.5,1435.9,1483.5,1512.7,1502.5,1448.9,1451.8,1499.5,1515.9,1523.3,1495.2,1451.4,1398.1,1335,1341.6,1322.2,1288,1246.2,1248.3,1233,1220.8,1215.6,1201.4,1198.8,1173.8,1152.8,1148,1128.7,1135.7,1121.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy cows are those kept principally to produce milk for human ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consumption. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy heifers in calf are intended for the dairy herd. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilts not yet served are at least 50 kg liveweight and intended for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breeding ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(http://www.cso.ie/en/surveysandmethodology/agricultureandfishing/dec-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emberlivestocksurvey/)  See Background Notes  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
