Livestock Products - Milk (Million Litres) by State and Year,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
State,5179,5123,5167,5109,5176,5187,5194,5151,4990,5018,5048,5210,5063,5186,5142,4939,5097,5097,4963,4804,5182,5395,5242
,,,,,,,,,,,,,,,,,,,,,,,
All types of Livestock and Crops includes stock changes ,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
Following reform of the EU sugar regime and the subsequent ending of ,,,,,,,,,,,,,,,,,,,,,,,
"sugar production in Ireland, the very small amount of sugar beet ",,,,,,,,,,,,,,,,,,,,,,,
grown in 2006 was included in forage plants. ,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
"The output of cattle, sheep and pigs includes estimates for ",,,,,,,,,,,,,,,,,,,,,,,
cross-border trade in live animals. ,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
(http://www.cso.ie/en/surveysandmethodology/agricultureandfishing/)  ,,,,,,,,,,,,,,,,,,,,,,,
See Background Notes  ,,,,,,,,,,,,,,,,,,,,,,,
